iter	Passed	Remaining
445	1159	1440
446	1162	1437
447	1164	1434
448	1166	1431
449	1168	1428
450	1171	1425
451	1173	1422
452	1175	1419
453	1178	1416
454	1180	1414
455	1182	1410
456	1185	1408
457	1187	1405
458	1189	1402
459	1192	1399
460	1194	1396
461	1196	1393
462	1198	1390
463	1201	1387
464	1203	1384
465	1205	1381
466	1207	1378
467	1210	1375
468	1212	1372
469	1214	1369
470	1216	1366
471	1219	1363
472	1221	1360
473	1223	1357
474	1225	1354
475	1227	1351
476	1230	1348
477	1232	1345
478	1234	1343
479	1237	1340
480	1239	1337
481	1241	1334
482	1243	1331
483	1246	1328
484	1248	1325
485	1250	1322
486	1252	1319
487	1255	1316
488	1257	1314
489	1259	1311
490	1262	1308
491	1264	1305
492	1266	1302
493	1268	1299
494	1271	1297
495	1274	1295
496	1277	1292
497	1279	1289
498	1281	1286
499	1283	1283
500	1285	1280
501	1288	1278
502	1291	1275
503	1293	1272
504	1295	1269
505	1297	1266
506	1299	1263
507	1301	1260
508	1303	1257
509	1305	1254
510	1307	1251
511	1309	1247
512	1311	1245
513	1313	1242
514	1315	1238
515	1318	1236
516	1321	1234
517	1323	1231
518	1325	1228
519	1327	1225
520	1330	1222
521	1332	1220
522	1334	1217
523	1337	1214
524	1339	1211
525	1341	1208
526	1343	1206
527	1346	1203
528	1349	1201
529	1351	1198
530	1353	1195
531	1356	1193
532	1358	1190
533	1361	1187
534	1363	1185
535	1365	1182
536	1367	1179
537	1370	1176
538	1372	1173
539	1374	1170
540	1376	1168
541	1379	1165
542	1381	1162
543	1383	1160
544	1386	1157
545	1388	1154
546	1391	1152
547	1393	1149
548	1395	1146
549	1398	1144
550	1400	1141
551	1402	1138
552	1405	1135
553	1407	1133
554	1409	1130
555	1412	1127
556	1414	1125
557	1416	1122
558	1418	1119
559	1421	1116
560	1423	1114
561	1426	1111
562	1428	1108
563	1430	1105
564	1432	1103
565	1435	1100
566	1438	1098
567	1440	1095
568	1442	1092
569	1444	1090
570	1447	1087
571	1449	1084
572	1451	1081
573	1454	1079
574	1456	1076
575	1458	1073
576	1460	1071
577	1463	1068
578	1465	1065
579	1468	1063
580	1470	1060
581	1473	1057
582	1475	1055
583	1477	1052
584	1480	1049
585	1482	1047
586	1484	1044
587	1486	1041
588	1489	1039
589	1491	1036
590	1493	1033
591	1495	1030
592	1497	1028
593	1499	1025
594	1502	1022
595	1504	1019
596	1506	1017
597	1509	1014
598	1512	1012
599	1514	1009
600	1516	1006
601	1518	1003
602	1520	1001
603	1522	998
604	1527	996
605	1529	994
606	1530	991
607	1532	988
608	1534	985
609	1537	982
610	1540	980
611	1542	977
612	1544	975
613	1547	972
614	1549	970
615	1551	967
616	1554	964
617	1556	962
618	1558	959
619	1560	956
620	1563	954
621	1565	951
622	1567	948
623	1570	946
624	1572	943
625	1574	940
626	1577	938
627	1579	935
628	1581	932
629	1584	930
630	1586	927
631	1588	925
632	1590	922
633	1593	919
634	1595	917
635	1598	914
636	1600	912
637	1602	909
638	1605	906
639	1607	904
640	1609	901
641	1612	898
642	1615	896
643	1617	894
644	1619	891
645	1621	888
646	1623	885
647	1625	882
648	1627	880
649	1630	877
650	1632	875
651	1634	872
652	1636	869
653	1639	867
654	1641	864
655	1644	862
656	1646	859
657	1648	856
658	1650	854
659	1653	851
660	1655	848
661	1657	846
662	1659	843
663	1662	841
664	1664	838
665	1666	835
666	1668	833
667	1670	830
668	1673	827
669	1675	825
670	1678	822
671	1680	820
672	1682	817
673	1684	814
674	1687	812
675	1689	809
676	1691	807
677	1693	804
678	1696	801
679	1698	799
680	1700	796
681	1703	794
682	1705	791
683	1707	788
684	1710	786
685	1712	783
686	1714	781
687	1716	778
688	1719	776
689	1721	773
690	1723	770
691	1726	768
692	1728	765
693	1731	763
694	1733	760
695	1736	758
696	1738	755
697	1740	753
698	1742	750
699	1745	747
700	1748	745
701	1750	743
702	1753	740
703	1755	738
704	1757	735
705	1760	733
706	1762	730
707	1765	727
708	1767	725
709	1769	722
710	1771	720
711	1774	717
712	1777	715
713	1780	713
714	1782	710
715	1784	707
716	1787	705
717	1789	702
718	1791	700
719	1794	697
720	1796	695
721	1799	692
722	1801	690
723	1804	687
724	1806	685
725	1808	682
726	1811	680
727	1813	677
728	1815	675
729	1818	672
730	1820	669
731	1823	667
732	1825	664
733	1827	662
734	1829	659
735	1832	657
736	1835	654
737	1837	652
738	1839	649
739	1842	647
740	1844	644
741	1846	642
742	1848	639
743	1851	636
744	1853	634
745	1855	631
746	1858	629
747	1860	626
748	1862	624
749	1865	621
750	1867	619
751	1870	616
752	1872	614
753	1874	611
754	1877	609
755	1879	606
756	1881	604
757	1884	601
758	1886	598
759	1888	596
760	1891	593
761	1893	591
762	1895	588
763	1897	586
764	1900	583
765	1902	581
766	1904	578
767	1907	576
768	1909	573
769	1912	571
770	1914	568
771	1916	566
772	1918	563
773	1921	560
774	1923	558
775	1925	555
776	1928	553
777	1930	550
778	1932	548
779	1934	545
780	1937	543
781	1939	540
782	1942	538
